Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
145,Markelle Fultz,PG,25,ORL,12,6,24.3,3.9,8.1,.485,0.0,0.3,.000,3.9,7.8,.500,.485,0.4,0.9,.455,1.3,1.8,3.0,3.7,1.2,0.4,1.3,1.8,8.3,2024
146,Daniel Gafford,C,25,WAS,37,37,26.2,4.3,6.3,.685,0.0,0.0,,4.3,6.3,.685,.685,1.9,2.7,.727,2.6,4.9,7.6,1.6,0.9,2.1,1.1,3.3,10.5,2024
147,Danilo Gallinari,PF-SF,35,TOT,28,0,14.7,2.2,4.9,.449,0.8,2.4,.333,1.4,2.5,.557,.529,1.9,2.3,.844,0.4,2.4,2.9,1.3,0.2,0.1,0.4,1.0,7.1,2024
147,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,2024
147,Danilo Gallinari,SF,35,DET,2,0,13.0,2.0,2.5,.800,1.0,1.0,1.000,1.0,1.5,.667,1.000,3.5,4.0,.875,0.0,2.0,2.0,2.5,0.0,0.0,0.0,1.0,8.5,2024
148,Darius Garland,PG,24,CLE,20,20,34.0,7.6,16.1,.470,1.8,5.2,.346,5.8,10.9,.530,.526,3.8,4.6,.835,0.6,2.2,2.8,5.9,1.6,0.2,3.8,1.6,20.7,2024
149,Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,2024
150,Luka Garza,C,25,MIN,8,0,2.8,0.6,2.0,.313,0.0,0.6,.000,0.6,1.4,.455,.313,0.6,1.0,.625,0.5,0.5,1.0,0.3,0.0,0.0,0.3,0.9,1.9,2024
151,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
152,Keyonte George,PG,20,UTA,38,16,24.3,3.4,9.2,.372,1.7,5.2,.330,1.7,4.0,.428,.466,2.3,2.8,.806,0.3,2.5,2.8,4.3,0.4,0.1,2.1,1.0,10.8,2024
153,Paul George,PF,33,LAC,39,39,34.8,8.3,17.9,.464,3.6,8.6,.418,4.7,9.3,.507,.565,3.4,3.7,.911,0.6,4.9,5.6,3.6,1.6,0.3,2.1,2.9,23.6,2024
154,Taj Gibson,PF,38,NYK,10,0,9.7,0.7,1.4,.500,0.0,0.4,.000,0.7,1.0,.700,.500,0.0,0.0,,0.6,1.2,1.8,0.5,0.1,0.6,0.2,2.0,1.4,2024
155,Josh Giddey,SG,21,OKC,41,41,25.0,4.8,10.7,.453,1.0,2.8,.345,3.9,7.8,.492,.499,1.2,1.5,.817,1.3,4.9,6.2,4.6,0.8,0.4,2.2,1.3,11.8,2024
156,Harry Giles,C,25,BRK,12,0,5.6,1.5,3.0,.500,0.1,0.7,.125,1.4,2.3,.607,.514,0.5,0.9,.545,0.8,0.8,1.6,0.3,0.1,0.3,0.3,0.8,3.6,2024
157,Shai Gilgeous-Alexander,PG,25,OKC,41,41,34.5,11.0,20.1,.549,1.1,3.4,.326,9.9,16.6,.595,.577,7.9,8.9,.893,0.8,4.8,5.6,6.3,2.2,0.8,2.0,2.6,31.1,2024
158,Anthony Gill,PF,31,WAS,24,0,6.1,0.9,1.9,.489,0.1,0.5,.182,0.8,1.4,.588,.511,0.5,0.7,.750,0.5,0.9,1.4,0.4,0.1,0.3,0.5,0.5,2.4,2024
159,Collin Gillespie,PG,24,DEN,14,0,6.9,0.8,1.7,.458,0.3,0.9,.308,0.5,0.8,.636,.542,0.3,0.4,.800,0.1,0.3,0.4,0.6,0.4,0.0,0.4,0.9,2.1,2024
160,Jacob Gilyard,PG,25,MEM,26,9,16.3,1.3,3.3,.402,1.1,2.7,.408,0.2,0.6,.375,.569,0.0,0.0,1.000,0.3,0.8,1.1,3.2,0.6,0.1,0.6,0.9,3.8,2024
161,Rudy Gobert,C,31,MIN,42,42,33.0,5.0,7.9,.633,0.0,0.0,.000,5.0,7.8,.637,.633,3.2,5.2,.627,3.5,9.0,12.5,1.2,0.6,2.1,1.6,2.9,13.2,2024
